Category,City,Country/Region,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State/Province,Sub-Category,Discount,Profit,Quantity,Sales
Office Supplies,Hot Springs,United States,Christine Kargatis,Xerox,4/8/2021,US-2021-134789,71901,Xerox 1993,South,Home Office,4/15/2021,Standard Class,Arkansas,Paper,0,12.7008,4,25.92
Office Supplies,New York City,United States,Jeremy Lonsdale,Adams,4/8/2021,US-2021-138520,10035,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",East,Consumer,4/13/2021,Standard Class,New York,Paper,0,15.824,5,34.4
Office Supplies,Los Angeles,United States,Logan Currie,Xerox,4/8/2021,US-2021-130477,90032,Xerox 1923,West,Consumer,4/12/2021,Standard Class,California,Paper,0,9.6192,3,20.04
Office Supplies,Los Angeles,United States,Logan Currie,Fellowes,4/8/2021,US-2021-130477,90032,Fellowes Neat Ideas Storage Cubes,West,Consumer,4/12/2021,Standard Class,California,Storage,0,2.5984,2,64.96
Technology,Houston,United States,Zuschuss Carroll,Kensington,4/8/2021,US-2021-130946,77041,Kensington Orbit Wireless Mobile Trackball for PC and Mac,Central,Consumer,4/12/2021,Standard Class,Texas,Accessories,0.2,64.7892,9,431.928
Furniture,Los Angeles,United States,Herbert Flentye,Bush,4/9/2021,US-2021-117681,90004,Bush Somerset Collection Bookcase,West,Consumer,4/14/2021,Standard Class,California,Bookcases,0.15,6.549000000,5,556.665
Office Supplies,Detroit,United States,Sean Wendt,Storex,4/9/2021,US-2021-128517,48227,Storex Flexible Poly Binders with Double Pockets,Central,Home Office,4/14/2021,Second Class,Michigan,Binders,0,2.4288,2,5.28
Office Supplies,Seattle,United States,Edward Becker,Acco,4/9/2021,US-2021-126809,98103,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",West,Corporate,4/13/2021,Standard Class,Washington,Binders,0.2,12.8151,9,35.352
Technology,Detroit,United States,Sean Wendt,Nortel,4/9/2021,US-2021-128517,48227,Nortel Meridian M5316 Digital phone,Central,Home Office,4/14/2021,Second Class,Michigan,Phones,0,134.654,2,517.9
Office Supplies,San Francisco,United States,Brian Thompson,3M,4/10/2021,US-2021-123358,94122,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,West,Consumer,4/17/2021,Standard Class,California,Appliances,0,44.3664,3,113.76
Office Supplies,Chicago,United States,Quincy Jones,BIC,4/10/2021,US-2021-109652,60653,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",Central,Corporate,4/15/2021,Standard Class,Illinois,Art,0.2,3.2224,4,13.568
Office Supplies,San Francisco,United States,Brian Thompson,GBC,4/10/2021,US-2021-123358,94122,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",West,Consumer,4/17/2021,Standard Class,California,Binders,0.2,15.6104,4,48.032
Office Supplies,Bakersfield,United States,Filia McAdams,Wilson Jones,4/10/2021,US-2021-124814,93309,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",West,Corporate,4/16/2021,Standard Class,California,Binders,0.2,8.12,5,23.2
Office Supplies,Springfield,United States,Justin Ritter,Wilson Jones,4/10/2021,US-2021-114622,45503,Wilson Jones Hanging Recycled Pressboard Data Binders,East,Corporate,4/12/2021,First Class,Ohio,Binders,0.7,-6.5296,2,8.904
Office Supplies,Bakersfield,United States,Filia McAdams,Xerox,4/10/2021,US-2021-124814,93309,Xerox 227,West,Corporate,4/16/2021,Standard Class,California,Paper,0,6.2208,2,12.96
Office Supplies,San Francisco,United States,Brian Thompson,Rogers,4/10/2021,US-2021-123358,94122,Rogers Profile Extra Capacity Storage Tub,West,Consumer,4/17/2021,Standard Class,California,Storage,0,6.026400000,9,150.66
Office Supplies,San Francisco,United States,Brian Thompson,Fellowes,4/10/2021,US-2021-123358,94122,Fellowes Staxonsteel Drawer Files,West,Consumer,4/17/2021,Standard Class,California,Storage,0,81.1314,3,579.51
Furniture,Los Angeles,United States,Jason Fortune-,Global,4/12/2021,US-2021-163594,90036,"Global Geo Office Task Chair, Gray",West,Consumer,4/14/2021,First Class,California,Chairs,0.2,-36.441,3,194.352
Furniture,Los Angeles,United States,Beth Paige,Hon,4/12/2021,US-2021-142398,90036,Hon Comfortask Task/Swivel Chairs,West,Consumer,4/16/2021,Standard Class,California,Chairs,0.2,-31.9144,7,638.288
Furniture,Springfield,United States,Brian Dahlen,KI,4/12/2021,US-2021-112102,22153,KI Adjustable-Height Table,South,Consumer,4/16/2021,Standard Class,Virginia,Tables,0,75.6624,4,343.92
Office Supplies,Los Angeles,United States,Jason Fortune-,Other,4/12/2021,US-2021-163594,90036,Aluminum Screw Posts,West,Consumer,4/14/2021,First Class,California,Binders,0.2,13.734,3,36.624
Office Supplies,Los Angeles,United States,Beth Paige,Other,4/12/2021,US-2021-142398,90036,JM Magazine Binder,West,Consumer,4/16/2021,Standard Class,California,Binders,0.2,4.6228,1,13.208
Office Supplies,Springfield,United States,Brian Dahlen,Global,4/12/2021,US-2021-112102,22153,Globe Weis Peel & Seel First Class Envelopes,South,Consumer,4/16/2021,Standard Class,Virginia,Envelopes,0,28.755,5,63.9
Office Supplies,Springfield,United States,Brian Dahlen,Xerox,4/12/2021,US-2021-112102,22153,Xerox 1945,South,Consumer,4/16/2021,Standard Class,Virginia,Paper,0,20.0851,1,40.99
Office Supplies,Wilson,United States,Thomas Boland,TOPS,4/12/2021,US-2021-124254,27893,"TOPS ""Important Message"" Pads, Canary, 4-1/4 x 5-1/2, 50 Sheets per Pad",South,Corporate,4/17/2021,Standard Class,North Carolina,Paper,0.2,3.4668,3,10.272
Office Supplies,Los Angeles,United States,Jason Fortune-,Xerox,4/12/2021,US-2021-163594,90036,Xerox 206,West,Consumer,4/14/2021,First Class,California,Paper,0,9.3312,3,19.44
Office Supplies,Wilson,United States,Thomas Boland,Fellowes,4/12/2021,US-2021-124254,27893,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,South,Corporate,4/17/2021,Standard Class,North Carolina,Storage,0.2,-5.1984,1,51.984
Office Supplies,Wilson,United States,Thomas Boland,Fellowes,4/12/2021,US-2021-124254,27893,Fellowes Bankers Box Recycled Super Stor/Drawer,South,Corporate,4/17/2021,Standard Class,North Carolina,Storage,0.2,-22.6716,3,129.552
Office Supplies,San Francisco,United States,Susan Pistek,Poly,4/13/2021,US-2021-152800,94109,Poly String Tie Envelopes,West,Consumer,4/15/2021,First Class,California,Envelopes,0,2.8764,3,6.12
Furniture,Glendale,United States,Kean Takahito,Hon,4/14/2021,US-2021-112669,85301,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,West,Consumer,4/14/2021,Same Day,Arizona,Chairs,0.2,105.0228,4,933.536
Furniture,Los Angeles,United States,Philip Brown,Bevis,4/14/2021,US-2021-148796,90004,Bevis Steel Folding Chairs,West,Consumer,4/18/2021,Standard Class,California,Chairs,0.2,38.38,5,383.8
Office Supplies,Baltimore,United States,Jill Matthias,GBC,4/14/2021,US-2021-166625,21215,GBC ProClick Spines for 32-Hole Punch,East,Consumer,4/17/2021,First Class,Maryland,Binders,0,11.7782,2,25.06
Office Supplies,Glendale,United States,Kean Takahito,Fellowes,4/14/2021,US-2021-112669,85301,"Fellowes Personal Hanging Folder Files, Navy",West,Consumer,4/14/2021,Same Day,Arizona,Storage,0.2,4.2976,4,42.976
Office Supplies,Alexandria,United States,Tom Boeckenhauer,Acco,4/14/2021,US-2021-164735,22304,Acco Perma 4000 Stacking Storage Drawers,South,Consumer,4/19/2021,Second Class,Virginia,Storage,0,12.18,5,81.2
Furniture,San Francisco,United States,Bill Donatelli,Hon,4/15/2021,US-2021-136406,94110,HON 5400 Series Task Chairs for Big and Tall,West,Consumer,4/17/2021,Second Class,California,Chairs,0.2,0,2,1121.568
Office Supplies,Grapevine,United States,Muhammed Yedwab,Dixon,4/15/2021,US-2021-132423,76051,"Dixon Ticonderoga Erasable Colored Pencil Set, 12-Color",Central,Corporate,4/19/2021,Standard Class,Texas,Art,0.2,5.8604,7,33.488
Office Supplies,Gastonia,United States,Ross Baird,GBC,4/15/2021,US-2021-123750,28052,GBC ProClick 150 Presentation Binding System,South,Home Office,4/21/2021,Standard Class,North Carolina,Binders,0.7,-145.3508,2,189.588
Office Supplies,Grapevine,United States,Muhammed Yedwab,Other,4/15/2021,US-2021-132423,76051,Ideal Clamps,Central,Corporate,4/19/2021,Standard Class,Texas,Fasteners,0.2,2.9145,5,8.04
Office Supplies,San Diego,United States,Julie Kriz,Xerox,4/15/2021,US-2021-117849,92105,Xerox 1911,West,Home Office,4/17/2021,Second Class,California,Paper,0,68.976,3,143.7
Office Supplies,Gastonia,United States,Ross Baird,Other,4/15/2021,US-2021-123750,28052,Woodgrain Magazine Files by Perma,South,Home Office,4/21/2021,Standard Class,North Carolina,Storage,0.2,-0.774800000,2,4.768
Technology,Gastonia,United States,Ross Baird,Imation,4/15/2021,US-2021-123750,28052,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,South,Home Office,4/21/2021,Standard Class,North Carolina,Accessories,0.2,76.6395,7,408.744
Technology,Gastonia,United States,Ross Baird,Imation,4/15/2021,US-2021-123750,28052,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,South,Home Office,4/21/2021,Standard Class,North Carolina,Accessories,0.2,54.7425,5,291.96
Furniture,Lakewood,United States,Bill Shonely,Other,4/16/2021,US-2021-107440,08701,Stacking Trays by OIC,East,Corporate,4/20/2021,Standard Class,New Jersey,Furnishings,0,3.2868,2,9.96
Office Supplies,Columbus,United States,Arthur Prichep,Newell,4/16/2021,US-2021-164588,31907,Newell 341,South,Consumer,4/23/2021,Standard Class,Georgia,Art,0,3.7236,3,12.84
Office Supplies,Lakewood,United States,Bill Shonely,Wilson Jones,4/16/2021,US-2021-107440,08701,Wilson Jones Standard D-Ring Binders,East,Corporate,4/20/2021,Standard Class,New Jersey,Binders,0,11.891,5,25.3
Office Supplies,Nashville,United States,Pete Kriz,Standard,4/16/2021,US-2021-166282,37211,Standard Line “While You Were Out” Hardbound Telephone Message Book,South,Consumer,4/22/2021,Standard Class,Tennessee,Paper,0.2,40.0036,7,123.088
Office Supplies,Seattle,United States,Bryan Mills,Other,4/16/2021,US-2021-105473,98115,Stiletto Hand Letter Openers,West,Consumer,4/18/2021,Second Class,Washington,Supplies,0,0.864000000,3,28.8
Technology,Nashville,United States,Pete Kriz,Memorex,4/16/2021,US-2021-166282,37211,Memorex Froggy Flash Drive 4 GB,South,Consumer,4/22/2021,Standard Class,Tennessee,Accessories,0.2,8.3524,4,35.168
Technology,Lakewood,United States,Bill Shonely,3D Systems,4/16/2021,US-2021-107440,08701,"3D Systems Cube Printer, 2nd Generation, Magenta",East,Corporate,4/20/2021,Standard Class,New Jersey,Machines,0,2365.9818,7,9099.93
Furniture,Lakewood,United States,Jessica Myrick,Other,4/17/2021,US-2021-108735,90712,"Bush Westfield Collection Bookcases, Fully Assembled",West,Consumer,4/21/2021,Standard Class,California,Bookcases,0.15,24.2352,3,257.499
Furniture,Raleigh,United States,Ben Ferrer,GE,4/17/2021,US-2021-149111,27604,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",South,Home Office,4/21/2021,Second Class,North Carolina,Furnishings,0.2,6.2856,8,18.624
Furniture,Columbia,United States,Charles Sheldon,Ultra,4/17/2021,US-2021-159415,38401,"Ultra Door Kickplate, 8""H x 34""W",South,Corporate,4/22/2021,Standard Class,Tennessee,Furnishings,0.2,13.846,5,79.12
Office Supplies,Omaha,United States,Sean Wendt,Advantus,4/17/2021,US-2021-133508,68104,"Advantus Push Pins, Aluminum Head",Central,Home Office,4/21/2021,Standard Class,Nebraska,Fasteners,0,9.0055,5,29.05
Technology,Raleigh,United States,Ben Ferrer,Motorola,4/17/2021,US-2021-149111,27604,Motorola L804,South,Home Office,4/21/2021,Second Class,North Carolina,Phones,0.2,4.1391,1,36.792
Furniture,Vancouver,Canada,Jessica Myrick,Other,4/17/2021,CA-2021-108735,V6E,"Bush Westfield Collection Bookcases, Fully Assembled",West,Consumer,4/21/2021,Standard Class,British Columbia,Bookcases,0.2,13.846,5,79.12
Furniture,Houston,United States,Thea Hudgings,Global,4/18/2021,US-2021-125087,77070,"Global High-Back Leather Tilter, Burgundy",Central,Corporate,4/23/2021,Standard Class,Texas,Chairs,0.3,-93.4724,4,344.372
Furniture,Houston,United States,Thea Hudgings,Howard Miller,4/18/2021,US-2021-125087,77070,"Howard Miller 16"" Diameter Gallery Wall Clock",Central,Corporate,4/23/2021,Standard Class,Texas,Furnishings,0.6,-67.137,5,127.88
Office Supplies,Chesapeake,United States,Roy Französisch,Eureka,4/18/2021,US-2021-139381,23320,Eureka The Boss Cordless Rechargeable Stick Vac,South,Consumer,4/22/2021,Standard Class,Virginia,Appliances,0,55.0584,4,203.92
Office Supplies,New York City,United States,Cindy Schnelling,Other,4/18/2021,US-2021-144785,10009,American Pencil,East,Corporate,4/23/2021,Standard Class,New York,Art,0,2.0271,3,6.99
Office Supplies,Elmhurst,United States,Clay Rozendal,Adams,4/18/2021,US-2021-155551,60126,"Adams Telephone Message Books, 5 1/4” x 11”",Central,Home Office,4/23/2021,Standard Class,Illinois,Paper,0.2,3.2616,2,9.664
Office Supplies,Houston,United States,Thea Hudgings,Tennsco,4/18/2021,US-2021-125087,77070,Tennsco 16-Compartment Lockers with Coat Rack,Central,Corporate,4/23/2021,Standard Class,Texas,Storage,0.2,77.7468,3,1554.936
Office Supplies,Elmhurst,United States,Clay Rozendal,SAFCO,4/18/2021,US-2021-155551,60126,Safco Industrial Wire Shelving,Central,Home Office,4/23/2021,Standard Class,Illinois,Storage,0.2,-48.9549,3,230.376
Office Supplies,New York City,United States,Cindy Schnelling,Acme,4/18/2021,US-2021-144785,10009,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",East,Corporate,4/23/2021,Standard Class,New York,Supplies,0,1.8468,1,6.84
Technology,Chesapeake,United States,Roy Französisch,Other,4/18/2021,US-2021-139381,23320,"SKILCRAFT Telephone Shoulder Rest, 2"" x 6.5"" x 2.5"", Black",South,Consumer,4/22/2021,Standard Class,Virginia,Phones,0,7.9812,4,29.56
Furniture,Columbus,United States,Gary Mitchum,Bush,4/19/2021,US-2021-161396,43229,"Bush Andora Conference Table, Maple/Graphite Gray Finish",East,Home Office,4/25/2021,Standard Class,Ohio,Tables,0.4,-58.1332,2,205.176
Office Supplies,Los Angeles,United States,Jas O'Carroll,Newell,4/19/2021,US-2021-115819,90049,Newell 307,West,Consumer,4/24/2021,Second Class,California,Art,0,1.5288,3,5.46
Office Supplies,New York City,United States,Kunst Miller,Panasonic,4/19/2021,US-2021-109666,10035,Panasonic KP-380BK Classic Electric Pencil Sharpener,East,Consumer,4/26/2021,Standard Class,New York,Art,0,17.99,2,71.96
Office Supplies,Los Angeles,United States,Jas O'Carroll,Panasonic,4/19/2021,US-2021-115819,90049,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,West,Consumer,4/24/2021,Second Class,California,Art,0,21.228,5,73.2
Office Supplies,New York City,United States,Kunst Miller,BIC,4/19/2021,US-2021-109666,10035,BIC Brite Liner Grip Highlighters,East,Consumer,4/26/2021,Standard Class,New York,Art,0,1.476,2,3.28
Office Supplies,Los Angeles,United States,Jas O'Carroll,Angle-D,4/19/2021,US-2021-115819,90049,"Angle-D Binders with Locking Rings, Label Holders",West,Consumer,4/24/2021,Second Class,California,Binders,0.2,1.971,1,5.84
Office Supplies,New York City,United States,Kunst Miller,Wilson Jones,4/19/2021,US-2021-109666,10035,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",East,Consumer,4/26/2021,Standard Class,New York,Binders,0.2,3.248,2,9.28
Office Supplies,Los Angeles,United States,Jas O'Carroll,Avery,4/19/2021,US-2021-115819,90049,Avery Binder Labels,West,Consumer,4/24/2021,Second Class,California,Binders,0.2,3.2676,3,9.336
Office Supplies,Columbus,United States,Gary Mitchum,Xerox,4/19/2021,US-2021-161396,43229,Xerox 189,East,Home Office,4/25/2021,Standard Class,Ohio,Paper,0.2,146.79,5,419.4
Office Supplies,Los Angeles,United States,Jas O'Carroll,Adams,4/19/2021,US-2021-115819,90049,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",West,Consumer,4/24/2021,Second Class,California,Paper,0,10.224,4,22.72
Office Supplies,New York City,United States,Kunst Miller,Space Solutions,4/19/2021,US-2021-109666,10035,Space Solutions HD Industrial Steel Shelving.,East,Consumer,4/26/2021,Standard Class,New York,Storage,0,13.7964,4,459.88
Office Supplies,New York City,United States,Kunst Miller,Fiskars,4/19/2021,US-2021-109666,10035,Fiskars Softgrip Scissors,East,Consumer,4/26/2021,Standard Class,New York,Supplies,0,15.372,5,54.9
Office Supplies,New York City,United States,Kunst Miller,Acme,4/19/2021,US-2021-109666,10035,Acme Kleen Earth Office Shears,East,Consumer,4/26/2021,Standard Class,New York,Supplies,0,2.2504,2,7.76
Technology,Los Angeles,United States,Jas O'Carroll,Other,4/19/2021,US-2021-115819,90049,PowerGen Dual USB Car Charger,West,Consumer,4/24/2021,Second Class,California,Phones,0.2,12.987,5,39.96
Technology,New York City,United States,Kunst Miller,Other,4/19/2021,US-2021-109666,10035,Gear Head AU3700S Headset,East,Consumer,4/26/2021,Standard Class,New York,Phones,0,0.779400000,2,25.98
Office Supplies,Chicago,United States,Sibella Parks,Kensington,4/21/2021,US-2021-103646,60623,Kensington 4 Outlet MasterPiece Compact Power Control Center,Central,Corporate,4/26/2021,Standard Class,Illinois,Appliances,0.8,-126.8592,3,48.792
Office Supplies,Milford,United States,Brian Thompson,Other,4/21/2021,US-2021-146423,06460,Colorific Watercolor Pencils,East,Consumer,4/21/2021,Same Day,Connecticut,Art,0,4.4892,3,15.48
Office Supplies,Chicago,United States,Sibella Parks,Other,4/21/2021,US-2021-103646,60623,"Performers Binder/Pad Holder, Black",Central,Corporate,4/26/2021,Standard Class,Illinois,Binders,0.8,-67.272,8,44.848
Office Supplies,Seattle,United States,Duane Noonan,Other,4/21/2021,US-2021-151498,98115,Round Ring Binders,West,Consumer,4/24/2021,First Class,Washington,Binders,0.2,2.808,5,8.32
Office Supplies,Milford,United States,Brian Thompson,Xerox,4/21/2021,US-2021-146423,06460,Xerox 209,East,Consumer,4/21/2021,Same Day,Connecticut,Paper,0,24.8832,8,51.84
Office Supplies,Chicago,United States,Sibella Parks,Fellowes,4/21/2021,US-2021-103646,60623,Fellowes Bankers Box Stor/Drawer Steel Plus,Central,Corporate,4/26/2021,Standard Class,Illinois,Storage,0.2,-12.792,4,102.336
Furniture,Phoenix,United States,Tanja Norvell,Eldon,4/22/2021,US-2021-109869,85023,Eldon Wave Desk Accessories,West,Home Office,4/29/2021,Standard Class,Arizona,Furnishings,0.2,7.068,5,23.56
Furniture,San Francisco,United States,Paul Gonzalez,Ultra,4/22/2021,US-2021-147578,94122,Ultra Door Pull Handle,West,Consumer,4/26/2021,Second Class,California,Furnishings,0,10.4148,3,31.56
Furniture,Jefferson City,United States,Ed Ludwig,Eldon,4/22/2021,US-2021-113061,65109,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,Central,Home Office,4/26/2021,Standard Class,Missouri,Furnishings,0,8.662000000,2,86.62
Furniture,Phoenix,United States,Tanja Norvell,Bush,4/22/2021,US-2021-109869,85023,Bush Advantage Collection Racetrack Conference Table,West,Home Office,4/29/2021,Standard Class,Arizona,Tables,0.5,-814.4832,6,1272.63
Office Supplies,Phoenix,United States,Tanja Norvell,Fellowes,4/22/2021,US-2021-109869,85023,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",West,Home Office,4/29/2021,Standard Class,Arizona,Appliances,0.2,5.8704,2,78.272
Office Supplies,Rome,United States,Michael Moore,Other,4/22/2021,US-2021-101329,13440,Barrel Sharpener,East,Consumer,4/29/2021,Standard Class,New York,Art,0,8.3538,9,32.13
Office Supplies,Rome,United States,Michael Moore,Newell,4/22/2021,US-2021-101329,13440,Newell 32,East,Consumer,4/29/2021,Standard Class,New York,Art,0,0.8064,1,2.88
Office Supplies,Phoenix,United States,Tanja Norvell,Poly,4/22/2021,US-2021-109869,85023,Poly Designer Cover & Back,West,Home Office,4/29/2021,Standard Class,Arizona,Binders,0.7,-20.889,5,28.485
Office Supplies,Aurora,United States,Tonja Turnell,Other,4/22/2021,US-2021-109057,60505,Pizazz Global Quick File,Central,Home Office,4/27/2021,Standard Class,Illinois,Storage,0.2,2.3952,2,23.952
Office Supplies,Phoenix,United States,Tanja Norvell,Premier,4/22/2021,US-2021-109869,85023,Premier Electric Letter Opener,West,Home Office,4/29/2021,Standard Class,Arizona,Supplies,0.2,-34.758,2,185.376
Office Supplies,San Clemente,United States,Art Ferguson,Other,4/23/2021,US-2021-126270,92672,Recycled Pressboard Report Cover with Reinforced Top Hinge,West,Consumer,4/27/2021,Standard Class,California,Binders,0.2,6.5569,7,18.088
Office Supplies,Hesperia,United States,Grace Kelly,Ibico,4/23/2021,US-2021-162138,92345,Ibico Laser Imprintable Binding System Covers,West,Corporate,4/27/2021,Standard Class,California,Binders,0.2,81.744,6,251.52
Office Supplies,San Clemente,United States,Art Ferguson,Other,4/23/2021,US-2021-126270,92672,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",West,Consumer,4/27/2021,Standard Class,California,Envelopes,0,35.985,3,71.97
Office Supplies,Lancaster,United States,Max Jones,Other,4/23/2021,US-2021-124149,43130,Embossed Ink Jet Note Cards,East,Consumer,4/26/2021,First Class,Ohio,Paper,0.2,37.9176,6,108.336
Office Supplies,Charlotte,United States,Heather Kirkland,Southworth,4/23/2021,US-2021-130001,28205,Southworth 25% Cotton Linen-Finish Paper & Envelopes,South,Corporate,4/28/2021,Standard Class,North Carolina,Paper,0.2,11.325,5,36.24
Office Supplies,Lancaster,United States,Max Jones,Xerox,4/23/2021,US-2021-124149,43130,Xerox 1942,East,Consumer,4/26/2021,First Class,Ohio,Paper,0.2,29.364,2,78.304
Office Supplies,Lancaster,United States,Max Jones,Eldon,4/23/2021,US-2021-124149,43130,Eldon Fold 'N Roll Cart System,East,Consumer,4/26/2021,First Class,Ohio,Storage,0.2,6.291,5,55.92
Technology,Hesperia,United States,Grace Kelly,Logitech,4/23/2021,US-2021-162138,92345,Logitech Wireless Headset h800,West,Corporate,4/27/2021,Standard Class,California,Accessories,0,34.9965,1,99.99
Furniture,Colorado Springs,United States,Craig Leslie,SAFCO,4/24/2021,US-2021-149279,80906,SAFCO Arco Folding Chair,West,Home Office,4/28/2021,Standard Class,Colorado,Chairs,0.2,149.148,6,1325.76
Office Supplies,Riverside,United States,Jack Lebron,Cardinal,4/24/2021,US-2021-138933,92503,Cardinal Holdit Business Card Pockets,West,Consumer,4/27/2021,First Class,California,Binders,0.2,1.3944,1,3.984
Office Supplies,Colorado Springs,United States,Craig Leslie,Wilson Jones,4/24/2021,US-2021-149279,80906,Wilson Jones Impact Binders,West,Home Office,4/28/2021,Standard Class,Colorado,Binders,0.7,-2.1756,2,3.108
Office Supplies,Colorado Springs,United States,Craig Leslie,Xerox,4/24/2021,US-2021-149279,80906,Xerox 226,West,Home Office,4/28/2021,Standard Class,Colorado,Paper,0.2,5.4432,3,15.552
Technology,Houston,United States,Cathy Armstrong,Plantronics,4/24/2021,US-2021-168081,77070,Plantronics S12 Corded Telephone Headset System,Central,Home Office,4/27/2021,Second Class,Texas,Accessories,0.2,64.674,3,258.696
Office Supplies,Philadelphia,United States,John Lucas,Ibico,4/25/2021,US-2021-150147,19134,Ibico Recycled Grain-Textured Covers,East,Consumer,4/29/2021,Second Class,Pennsylvania,Binders,0.7,-13.816,2,20.724
Office Supplies,Philadelphia,United States,John Lucas,Wilson Jones,4/25/2021,US-2021-150147,19134,Wilson Jones Custom Binder Spines & Labels,East,Consumer,4/29/2021,Second Class,Pennsylvania,Binders,0.7,-3.4272,3,4.896
Technology,Philadelphia,United States,John Lucas,AT&T,4/25/2021,US-2021-150147,19134,AT&T 841000 Phone,East,Consumer,4/29/2021,Second Class,Pennsylvania,Phones,0.4,-20.7,2,82.8
Furniture,New York City,United States,Dennis Bolton,Office Star,4/26/2021,US-2021-139556,10009,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,East,Home Office,5/1/2021,Standard Class,New York,Chairs,0.1,62.7822,3,434.646
Furniture,Los Angeles,United States,Bill Overfelt,Global,4/28/2021,US-2021-137204,90045,"Global Stack Chair without Arms, Black",West,Corporate,5/5/2021,Standard Class,California,Chairs,0.2,2.598,2,41.568
Furniture,Saint Charles,United States,Rob Beeghly,Eldon,4/28/2021,US-2021-167605,60174,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",Central,Consumer,4/30/2021,Second Class,Illinois,Furnishings,0.6,-31.8612,2,30.344
Office Supplies,Dallas,United States,Nona Balk,Avery,4/28/2021,US-2021-161816,75217,Avery 493,Central,Corporate,5/1/2021,First Class,Texas,Labels,0.2,5.6956,4,15.712
Office Supplies,Denver,United States,Erica Hernandez,Xerox,4/28/2021,US-2021-152814,80219,Xerox 1881,West,Home Office,5/2/2021,Standard Class,Colorado,Paper,0.2,9.9468,3,29.472
Technology,Dallas,United States,Nona Balk,Nortel,4/28/2021,US-2021-161816,75217,Nortel Meridian M3904 Professional Digital phone,Central,Corporate,5/1/2021,First Class,Texas,Phones,0.2,41.5773,3,369.576
Furniture,Scottsdale,United States,Ken Dana,Other,4/30/2021,US-2021-144792,85254,12-1/2 Diameter Round Wall Clock,West,Corporate,5/4/2021,Standard Class,Arizona,Furnishings,0.2,22.3776,7,111.888
Furniture,Dallas,United States,Ben Ferrer,Other,4/30/2021,US-2021-120460,75081,Flat Face Poster Frame,Central,Home Office,5/5/2021,Standard Class,Texas,Furnishings,0.6,-10.1736,3,22.608
Office Supplies,New York City,United States,John Lee,Other,4/30/2021,US-2021-154788,10011,Tuff Stuff Recycled Round Ring Binders,East,Consumer,5/4/2021,Standard Class,New York,Binders,0.2,2.7956,2,7.712
Furniture,Memphis,United States,Herbert Flentye,Bevis,5/1/2021,US-2021-164784,38109,Bevis 44 x 96 Conference Tables,South,Consumer,5/4/2021,First Class,Tennessee,Tables,0.4,-142.071,3,370.62
Office Supplies,Little Rock,United States,Chris McAfee,Dixon,5/1/2021,US-2021-101525,72209,DIXON Ticonderoga Erasable Checking Pencils,South,Consumer,5/4/2021,Second Class,Arkansas,Art,0,4.3524,2,11.16
Office Supplies,Memphis,United States,Herbert Flentye,Newell,5/1/2021,US-2021-164784,38109,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,South,Consumer,5/4/2021,First Class,Tennessee,Binders,0.7,-2.0108,2,2.742
Office Supplies,Memphis,United States,Herbert Flentye,Avery,5/1/2021,US-2021-164784,38109,Avery 499,South,Consumer,5/4/2021,First Class,Tennessee,Labels,0.2,1.2948,1,3.984
Office Supplies,Little Rock,United States,Chris McAfee,Xerox,5/1/2021,US-2021-101525,72209,Xerox 1914,South,Consumer,5/4/2021,Second Class,Arkansas,Paper,0,53.8608,2,109.92
Office Supplies,Little Rock,United States,Chris McAfee,Xerox,5/1/2021,US-2021-101525,72209,Xerox 1994,South,Consumer,5/4/2021,Second Class,Arkansas,Paper,0,9.3312,3,19.44
Furniture,Greensboro,United States,Dan Lawera,Global,5/2/2021,US-2021-154060,27405,"Global Stack Chair without Arms, Black",South,Consumer,5/8/2021,Standard Class,North Carolina,Chairs,0.2,11.691,9,187.056
