Category;City;Country/Region;Customer Name;Manufacturer;Order Date;Order ID;Postal Code;Product Name;Region;Segment;Ship Date;Ship Mode;State;Sub-Category;Discount;Profit;Quantity;Sales
Technology;New York City;United States;Nathan Mautz;Panasonic;4.11.2018;CA-2018-164973;10024;Panasonic Kx-TS550;East;Home Office;9.11.2018;Standard Class;New York;Phones;0;80,0226;6;275,94
Technology;New York City;United States;Nathan Mautz;NETGEAR;4.11.2018;CA-2018-164973;10024;NETGEAR N750 Dual Band Wi-Fi Gigabit Router;East;Home Office;9.11.2018;Standard Class;New York;Accessories;0;129,6;4;360
Office Supplies;New York City;United States;Nathan Mautz;Other;4.11.2018;CA-2018-164973;10024;Trav-L-File Heavy-Duty Shuttle II, Black;East;Home Office;9.11.2018;Standard Class;New York;Storage;0;13,071;1;43,57
Office Supplies;Long Beach;United States;Frank Atkinson;Other;19.09.2018;CA-2018-156601;90805;OIC Binder Clips;West;Corporate;24.09.2018;Standard Class;California;Fasteners;0;3,58;2;7,16
Office Supplies;Hesperia;United States;Grace Kelly;Ibico;23.04.2020;CA-2020-162138;92345;Ibico Laser Imprintable Binding System Covers;West;Corporate;27.04.2020;Standard Class;California;Binders;0,2;81,744;6;251,52
Technology;Hesperia;United States;Grace Kelly;Logitech;23.04.2020;CA-2020-162138;92345;Logitech Wireless Headset h800;West;Corporate;27.04.2020;Standard Class;California;Accessories;0;34,9965;1;99,99
Furniture;Murfreesboro;United States;Don Jones;Other;3.11.2021;CA-2021-153339;37130;Telescoping Adjustable Floor Lamp;South;Corporate;5.11.2021;Second Class;Tennessee;Furnishings;0,2;0,999500000;1;15,992
Technology;Philadelphia;United States;Patrick O'Brill;Other;30.08.2020;US-2020-141544;19143;Aastra 57i VoIP phone;East;Consumer;1.09.2020;First Class;Pennsylvania;Phones;0,4;-67,8762;3;290,898
Office Supplies;Philadelphia;United States;Patrick O'Brill;Other;30.08.2020;US-2020-141544;19143;File Shuttle II and Handi-File, Black;East;Consumer;1.09.2020;First Class;Pennsylvania;Storage;0,2;3,389;2;54,224
Furniture;Philadelphia;United States;Patrick O'Brill;Hon;30.08.2020;US-2020-141544;19143;Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs;East;Consumer;1.09.2020;First Class;Pennsylvania;Chairs;0,3;-258,5016;4;786,744
Office Supplies;Philadelphia;United States;Patrick O'Brill;Other;30.08.2020;US-2020-141544;19143;Round Specialty Laser Printer Labels;East;Consumer;1.09.2020;First Class;Pennsylvania;Labels;0,2;33,831;10;100,24
Office Supplies;Philadelphia;United States;Patrick O'Brill;GBC;30.08.2020;US-2020-141544;19143;GBC Premium Transparent Covers with Diagonal Lined Pattern;East;Consumer;1.09.2020;First Class;Pennsylvania;Binders;0,7;-27,6936;6;37,764
Technology;Philadelphia;United States;John Lucas;AT&T;25.04.2020;US-2020-150147;19134;AT&T 841000 Phone;East;Consumer;29.04.2020;Second Class;Pennsylvania;Phones;0,4;-20,7;2;82,8
Office Supplies;Philadelphia;United States;John Lucas;Ibico;25.04.2020;US-2020-150147;19134;Ibico Recycled Grain-Textured Covers;East;Consumer;29.04.2020;Second Class;Pennsylvania;Binders;0,7;-13,816;2;20,724
Office Supplies;Philadelphia;United States;John Lucas;Wilson Jones;25.04.2020;US-2020-150147;19134;Wilson Jones Custom Binder Spines & Labels;East;Consumer;29.04.2020;Second Class;Pennsylvania;Binders;0,7;-3,4272;3;4,896
Office Supplies;Los Angeles;United States;Doug Bickford;Storex;1.09.2019;CA-2019-137946;90045;Storex Dura Pro Binders;West;Consumer;4.09.2019;Second Class;California;Binders;0,2;1,6038;1;4,752
Technology;Los Angeles;United States;Doug Bickford;Hewlett-Packard;1.09.2019;CA-2019-137946;90045;Hewlett Packard LaserJet 3310 Copier;West;Consumer;4.09.2019;Second Class;California;Copiers;0,2;335,9944;2;959,984
Office Supplies;Los Angeles;United States;Doug Bickford;Avery;1.09.2019;CA-2019-137946;90045;Avery Non-Stick Binders;West;Consumer;4.09.2019;Second Class;California;Binders;0,2;4,49;4;14,368
Office Supplies;San Francisco;United States;Alyssa Crouse;Other;12.07.2018;CA-2018-129924;94122;Tuff Stuff Recycled Round Ring Binders;West;Corporate;17.07.2018;Standard Class;California;Binders;0,2;2,7956;2;7,712
Furniture;San Francisco;United States;Alyssa Crouse;Hon;12.07.2018;CA-2018-129924;94122;Hon 5100 Series Wood Tables;West;Corporate;17.07.2018;Standard Class;California;Tables;0,2;-17,458800000;3;698,352
Office Supplies;Layton;United States;Ken Lonsdale;OIC;22.06.2019;CA-2019-128167;84041;"OIC Binder Clips, Mini, 1/4"" Capacity, Black";West;Consumer;26.06.2019;Second Class;Utah;Fasteners;0;2,3312;4;4,96
Office Supplies;Philadelphia;United States;Jonathan Doherty;Newell;13.04.2018;CA-2018-122336;19140;Newell 314;East;Corporate;17.04.2018;Second Class;Pennsylvania;Art;0,2;1,116;4;17,856
Office Supplies;Philadelphia;United States;Jonathan Doherty;Fellowes;13.04.2018;CA-2018-122336;19140;Fellowes PB200 Plastic Comb Binding Machine;East;Corporate;17.04.2018;Second Class;Pennsylvania;Binders;0,7;-407,976;10;509,97
Office Supplies;Philadelphia;United States;Jonathan Doherty;Other;13.04.2018;CA-2018-122336;19140;Staples;East;Corporate;17.04.2018;Second Class;Pennsylvania;Fasteners;0,2;10,0724;13;30,992
Technology;Philadelphia;United States;Jonathan Doherty;Square;13.04.2018;CA-2018-122336;19140;"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White";East;Corporate;17.04.2018;Second Class;Pennsylvania;Phones;0,4;8,391600000;12;71,928
Office Supplies;Austin;United States;Chad Sievert;Fellowes;20.12.2019;US-2019-120712;78745;Fellowes Super Stor/Drawer;Central;Consumer;24.12.2019;Standard Class;Texas;Storage;0,2;-2,220000000;4;88,8
Technology;San Francisco;United States;Clay Cheatham;Anker;15.06.2021;CA-2021-169901;94122;Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5;West;Consumer;19.06.2021;Standard Class;California;Phones;0,2;4,7976;3;47,976
Office Supplies;Lowell;United States;Tamara Dahlen;Binney & Smith;8.07.2021;CA-2021-134306;01852;Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box;East;Consumer;12.07.2021;Standard Class;Massachusetts;Art;0;3,0996;3;7,56
Office Supplies;Lowell;United States;Tamara Dahlen;Easy-staple paper;8.07.2021;CA-2021-134306;01852;Easy-staple paper;East;Consumer;12.07.2021;Standard Class;Massachusetts;Paper;0;11,5432;2;24,56
Office Supplies;Lowell;United States;Tamara Dahlen;BIC;8.07.2021;CA-2021-134306;01852;BIC Brite Liner Highlighters, Chisel Tip;East;Consumer;12.07.2021;Standard Class;Massachusetts;Art;0;4,1472;2;12,96
Technology;New York City;United States;Adam Bellavance;Other;1.09.2020;CA-2020-129714;10009;Sabrent 4-Port USB 2.0 Hub;East;Home Office;3.09.2020;First Class;New York;Accessories;0;2,3086;1;6,79
Office Supplies;New York City;United States;Adam Bellavance;Xerox;1.09.2020;CA-2020-129714;10009;Xerox 1881;East;Home Office;3.09.2020;First Class;New York;Paper;0;11,5432;2;24,56
Office Supplies;New York City;United States;Adam Bellavance;Acco;1.09.2020;CA-2020-129714;10009;Acco Hanging Data Binders;East;Home Office;3.09.2020;First Class;New York;Binders;0,2;1,0668;1;3,048
Office Supplies;New York City;United States;Adam Bellavance;Xerox;1.09.2020;CA-2020-129714;10009;Xerox 1881;East;Home Office;3.09.2020;First Class;New York;Paper;0;23,0864;4;49,12
Office Supplies;New York City;United States;Adam Bellavance;GBC;1.09.2020;CA-2020-129714;10009;GBC DocuBind P400 Electric Binding System;East;Home Office;3.09.2020;First Class;New York;Binders;0,2;1415,4296;4;4355,168
Furniture;New York City;United States;Jeremy Lonsdale;Sauder;8.04.2020;CA-2020-138520;10035;Sauder Barrister Bookcases;East;Consumer;13.04.2020;Standard Class;New York;Bookcases;0,2;-4,8588;6;388,704
Office Supplies;New York City;United States;Jeremy Lonsdale;Other;8.04.2020;CA-2020-138520;10035;#10 Gummed Flap White Envelopes, 100/Box;East;Consumer;13.04.2020;Standard Class;New York;Envelopes;0;3,7996;2;8,26
Office Supplies;New York City;United States;Jeremy Lonsdale;Dixon;8.04.2020;CA-2020-138520;10035;Dixon Prang Watercolor Pencils, 10-Color Set with Brush;East;Consumer;13.04.2020;Standard Class;New York;Art;0;6,9864;4;17,04
Office Supplies;New York City;United States;Jeremy Lonsdale;Adams;8.04.2020;CA-2020-138520;10035;Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”;East;Consumer;13.04.2020;Standard Class;New York;Paper;0;15,824;5;34,4
Office Supplies;Charlotte;United States;Heather Kirkland;Southworth;23.04.2020;CA-2020-130001;28205;Southworth 25% Cotton Linen-Finish Paper & Envelopes;South;Corporate;28.04.2020;Standard Class;North Carolina;Paper;0,2;11,325;5;36,24
Office Supplies;Columbus;United States;Victoria Brennan;Belkin;8.03.2021;CA-2021-155698;31907;Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection;South;Corporate;11.03.2021;First Class;Georgia;Appliances;0;168,4384;8;647,84
Office Supplies;Columbus;United States;Victoria Brennan;Avery;8.03.2021;CA-2021-155698;31907;"Avery Address/Shipping Labels for Typewriters, 4"" x 2""";South;Corporate;11.03.2021;First Class;Georgia;Labels;0;9,936;2;20,7
Office Supplies;New York City;United States;Katrina Willman;Avery;25.09.2021;CA-2021-144904;10009;"Avery Address/Shipping Labels for Typewriters, 4"" x 2""";East;Consumer;1.10.2021;Standard Class;New York;Labels;0;9,936;2;20,7
Furniture;New York City;United States;Katrina Willman;Global;25.09.2021;CA-2021-144904;10009;Global Ergonomic Managers Chair;East;Consumer;1.10.2021;Standard Class;New York;Chairs;0,1;86,8704;3;488,646
Office Supplies;New York City;United States;Katrina Willman;Newell;25.09.2021;CA-2021-144904;10009;Newell 333;East;Consumer;1.10.2021;Standard Class;New York;Art;0;1,4456;2;5,56
Furniture;New York City;United States;Katrina Willman;Eldon;25.09.2021;CA-2021-144904;10009;Eldon Wave Desk Accessories;East;Consumer;1.10.2021;Standard Class;New York;Furnishings;0;20,7328;8;47,12
Office Supplies;San Francisco;United States;Julia Dunbar;Gould Plastics;24.09.2018;CA-2018-123344;94109;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;West;Consumer;29.09.2018;Standard Class;California;Storage;0;8,478400000;4;211,96
Office Supplies;Manchester;United States;Michael Kennedy;Wilson Jones;21.10.2020;CA-2020-155516;06040;Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders;East;Corporate;21.10.2020;Same Day;Connecticut;Binders;0;10,44;4;23,2
Office Supplies;Manchester;United States;Michael Kennedy;Staple remover;21.10.2020;CA-2020-155516;06040;Staple remover;East;Corporate;21.10.2020;Same Day;Connecticut;Supplies;0;0,1472;2;7,36
Office Supplies;Manchester;United States;Michael Kennedy;Other;21.10.2020;CA-2020-155516;06040;Pizazz Global Quick File;East;Corporate;21.10.2020;Same Day;Connecticut;Storage;0;29,3412;7;104,79
Furniture;Manchester;United States;Michael Kennedy;Atlantic;21.10.2020;CA-2020-155516;06040;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;East;Corporate;21.10.2020;Same Day;Connecticut;Bookcases;0;271,4192;4;1043,92
Office Supplies;Harlingen;United States;Guy Thornton;Xerox;29.05.2021;CA-2021-104745;78550;Xerox 1930;Central;Consumer;4.06.2021;Standard Class;Texas;Paper;0,2;9,396;5;25,92
Office Supplies;Harlingen;United States;Guy Thornton;Other;29.05.2021;CA-2021-104745;78550;File Shuttle I and Handi-File;Central;Consumer;4.06.2021;Standard Class;Texas;Storage;0,2;4,6746;3;53,424
Office Supplies;Tucson;United States;Arthur Gainer;Wilson Jones;23.07.2018;US-2018-119137;85705;Wilson Jones Custom Binder Spines & Labels;West;Consumer;27.07.2018;Standard Class;Arizona;Binders;0,7;-5,712;5;8,16
Technology;Tucson;United States;Arthur Gainer;NETGEAR;23.07.2018;US-2018-119137;85705;NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router;West;Consumer;27.07.2018;Standard Class;Arizona;Accessories;0,2;179,1888;8;1023,936
Office Supplies;Tucson;United States;Arthur Gainer;Newell;23.07.2018;US-2018-119137;85705;Newell 324;West;Consumer;27.07.2018;Standard Class;Arizona;Art;0,2;0,924;1;9,24
Technology;Tucson;United States;Arthur Gainer;Microsoft;23.07.2018;US-2018-119137;85705;Microsoft Natural Keyboard Elite;West;Consumer;27.07.2018;Standard Class;Arizona;Accessories;0,2;-29,94;10;479,04
Office Supplies;Quincy;United States;Muhammed MacIntyre;Xerox;28.09.2020;US-2020-134656;62301;Xerox 1960;Central;Corporate;1.10.2020;First Class;Illinois;Paper;0,2;30,98;4;99,136
Furniture;Franklin;United States;Allen Rosenblatt;Office Impressions;27.08.2021;US-2021-134481;02038;"Office Impressions End Table, 20-1/2""H x 24""W x 20""D";East;Corporate;1.09.2021;Standard Class;Massachusetts;Tables;0,3;-297,6848;7;1488,424
Office Supplies;Houston;United States;Russell Applegate;Holmes;28.04.2019;CA-2019-130792;77095;Holmes Odor Grabber;Central;Consumer;5.05.2019;Standard Class;Texas;Appliances;0,8;-20,3322;3;8,652
Office Supplies;Houston;United States;Russell Applegate;Akro;28.04.2019;CA-2019-130792;77095;Akro-Mils 12-Gallon Tote;Central;Consumer;5.05.2019;Standard Class;Texas;Storage;0,2;2,6811;3;23,832
Office Supplies;Houston;United States;Russell Applegate;GBC;28.04.2019;CA-2019-130792;77095;"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black";Central;Consumer;5.05.2019;Standard Class;Texas;Binders;0,8;-18,8728;4;12,176
Office Supplies;San Francisco;United States;Alejandro Savely;Southworth;28.10.2020;CA-2020-134775;94109;Southworth Structures Collection;West;Corporate;29.10.2020;First Class;California;Paper;0;25,48;7;50,96
Office Supplies;San Francisco;United States;Alejandro Savely;Other;28.10.2020;CA-2020-134775;94109;"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""";West;Corporate;29.10.2020;First Class;California;Binders;0,2;17,3376;3;49,536
Technology;Taylor;United States;Laura Armstrong;Sony;26.06.2019;CA-2019-125395;48180;Sony 32GB Class 10 Micro SDHC R40 Memory Card;Central;Corporate;29.06.2019;Second Class;Michigan;Accessories;0;8,799;2;41,9
Furniture;Pembroke Pines;United States;Denny Ordway;Hon;27.11.2019;US-2019-168935;33024;Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal;South;Consumer;2.12.2019;Standard Class;Florida;Tables;0,45;-157,0095;3;375,4575
Technology;Pembroke Pines;United States;Denny Ordway;Logitech;27.11.2019;US-2019-168935;33024;Logitech Media Keyboard K200;South;Consumer;2.12.2019;Standard Class;Florida;Accessories;0,2;-1,0497;3;83,976
Technology;Philadelphia;United States;Dean Katz;Lexmark;3.12.2019;CA-2019-122756;19140;Lexmark MarkNet N8150 Wireless Print Server;East;Corporate;7.12.2019;Standard Class;Pennsylvania;Machines;0,7;-337,638;4;482,34
Furniture;Philadelphia;United States;Dean Katz;3M;3.12.2019;CA-2019-122756;19140;3M Hangers With Command Adhesive;East;Corporate;7.12.2019;Standard Class;Pennsylvania;Furnishings;0,2;0,777;1;2,96
Office Supplies;Cincinnati;United States;Nathan Gelder;Crayola;24.11.2018;CA-2018-115973;45231;Crayola Colored Pencils;East;Consumer;26.11.2018;First Class;Ohio;Art;0,2;0,4264;1;2,624
Office Supplies;New York City;United States;Mike Vittorini;Angle-D;11.12.2021;CA-2021-101798;10009;Angle-D Binders with Locking Rings, Label Holders;East;Consumer;15.12.2021;Standard Class;New York;Binders;0,2;7,884;4;23,36
Technology;New York City;United States;Mike Vittorini;Logitech;11.12.2021;CA-2021-101798;10009;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;East;Consumer;15.12.2021;Standard Class;New York;Accessories;0;13,5932;2;39,98
Technology;Des Moines;United States;Jack Garza;Nortel;21.09.2018;US-2018-135972;98198;Nortel Meridian M3904 Professional Digital phone;West;Consumer;23.09.2018;Second Class;Washington;Phones;0,2;27,7182;2;246,384
Technology;Des Moines;United States;Jack Garza;Canon;21.09.2018;US-2018-135972;98198;Canon PC1080F Personal Copier;West;Consumer;23.09.2018;Second Class;Washington;Copiers;0;701,9883;3;1799,97
Office Supplies;Peoria;United States;Bart Pistole;Wilson Jones;7.06.2018;US-2018-134971;61604;Wilson Jones Century Plastic Molded Ring Binders;Central;Corporate;10.06.2018;Second Class;Illinois;Binders;0,8;-20,5623;3;12,462
Office Supplies;Las Vegas;United States;Victor Preis;Other;30.06.2021;CA-2021-102946;89115;Tuf-Vin Binders;West;Home Office;5.07.2021;Standard Class;Nevada;Binders;0,2;25,5798;3;75,792
Office Supplies;Warwick;United States;Saphhira Shifley;Other;17.10.2021;CA-2021-165603;02886;2300 Heavy-Duty Transfer File Systems by Perma;East;Corporate;19.10.2021;Second Class;Rhode Island;Storage;0;9,4924;2;49,96
Office Supplies;Warwick;United States;Saphhira Shifley;Xerox;17.10.2021;CA-2021-165603;02886;Xerox 1958;East;Corporate;19.10.2021;Second Class;Rhode Island;Paper;0;6,2208;2;12,96
Office Supplies;Jackson;United States;Harold Pawlan;Acme;31.10.2019;CA-2019-122259;49201;"Acme 10"" Easy Grip Assistive Scissors";Central;Home Office;4.11.2019;Standard Class;Michigan;Supplies;0;21,036;4;70,12
Office Supplies;Houston;United States;Anna Gayman;Other;8.09.2020;CA-2020-108987;77036;Super Decoflex Portable Personal File;Central;Consumer;10.09.2020;Second Class;Texas;Storage;0,2;3,5952;3;35,952
Furniture;Houston;United States;Anna Gayman;Riverside;8.09.2020;CA-2020-108987;77036;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;Central;Consumer;10.09.2020;Second Class;Texas;Bookcases;0,32;-317,1528;4;2396,2656
Office Supplies;Houston;United States;Anna Gayman;Other;8.09.2020;CA-2020-108987;77036;"Contico 72""H Heavy-Duty Storage System";Central;Consumer;10.09.2020;Second Class;Texas;Storage;0,2;-32,784;4;131,136
Technology;Houston;United States;Anna Gayman;Sony;8.09.2020;CA-2020-108987;77036;Sony 64GB Class 10 Micro SDHC R40 Memory Card;Central;Consumer;10.09.2020;Second Class;Texas;Accessories;0,2;0,719800000;2;57,584
Office Supplies;Miami;United States;Luke Foster;Xerox;24.12.2018;CA-2018-113166;33180;Xerox 1974;South;Consumer;26.12.2018;First Class;Florida;Paper;0,2;3,4684;2;9,568
Office Supplies;Wilmington;United States;Stephanie Phelps;Avery;16.04.2018;CA-2018-155208;28403;Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack;South;Corporate;20.04.2018;Standard Class;North Carolina;Art;0,2;9,768;6;39,072
Office Supplies;New York City;United States;Roy Französisch;Staple holder;24.12.2021;CA-2021-117933;10024;Staple holder;East;Consumer;29.12.2021;Standard Class;New York;Appliances;0;9,6957;3;35,91
Technology;San Francisco;United States;Keith Herrera;Sony;8.12.2021;CA-2021-117457;94110;Sony 64GB Class 10 Micro SDHC R40 Memory Card;West;Consumer;12.12.2021;Standard Class;California;Accessories;0;37,7895;5;179,95
Technology;San Francisco;United States;Keith Herrera;Sharp;8.12.2021;CA-2021-117457;94110;Sharp AL-1530CS Digital Copier;West;Consumer;12.12.2021;Standard Class;California;Copiers;0,2;434,9913;3;1199,976
Office Supplies;San Francisco;United States;Keith Herrera;Wirebound;8.12.2021;CA-2021-117457;94110;Wirebound Message Book, 4 per Page;West;Consumer;12.12.2021;Standard Class;California;Paper;0;13,3035;5;27,15
Furniture;San Francisco;United States;Keith Herrera;Bevis;8.12.2021;CA-2021-117457;94110;Bevis Round Conference Table Top, X-Base;West;Consumer;12.12.2021;Standard Class;California;Tables;0,2;-112,9527;7;1004,024
Office Supplies;San Francisco;United States;Keith Herrera;Wirebound;8.12.2021;CA-2021-117457;94110;"Wirebound Service Call Books, 5 1/2"" x 4""";West;Consumer;12.12.2021;Standard Class;California;Paper;0;4,6464;1;9,68
Office Supplies;San Francisco;United States;Keith Herrera;Other;8.12.2021;CA-2021-117457;94110;Self-Adhesive Removable Labels;West;Consumer;12.12.2021;Standard Class;California;Labels;0;13,608;9;28,35
Office Supplies;San Francisco;United States;Keith Herrera;Xerox;8.12.2021;CA-2021-117457;94110;Xerox 1908;West;Consumer;12.12.2021;Standard Class;California;Paper;0;27,4302;1;55,98
Furniture;San Francisco;United States;Keith Herrera;O'Sullivan;8.12.2021;CA-2021-117457;94110;O'Sullivan 4-Shelf Bookcase in Odessa Pine;West;Consumer;12.12.2021;Standard Class;California;Bookcases;0,15;31,454800000;13;1336,829
Furniture;San Francisco;United States;Keith Herrera;Novimex;8.12.2021;CA-2021-117457;94110;Novimex High-Tech Fabric Mesh Task Chair;West;Consumer;12.12.2021;Standard Class;California;Chairs;0,2;-18,4548;2;113,568
Office Supplies;Seattle;United States;Kimberly Carter;Xerox;3.11.2021;CA-2021-142636;98105;Xerox 191;West;Corporate;7.11.2021;Standard Class;Washington;Paper;0;65,7342;7;139,86
Furniture;Seattle;United States;Kimberly Carter;Global;3.11.2021;CA-2021-142636;98105;Global Deluxe Office Fabric Chairs;West;Corporate;7.11.2021;Standard Class;Washington;Chairs;0,2;26,8744;4;307,136
Office Supplies;Huntington Beach;United States;Caroline Jumper;Bulldog;24.06.2021;CA-2021-122105;92646;Bulldog Vacuum Base Pencil Sharpener;West;Consumer;28.06.2021;Standard Class;California;Art;0;25,8984;8;95,92
Furniture;Los Angeles;United States;Philip Brown;Bevis;14.04.2020;CA-2020-148796;90004;Bevis Steel Folding Chairs;West;Consumer;18.04.2020;Standard Class;California;Chairs;0,2;38,38;5;383,8
Office Supplies;Richmond;United States;Victoria Brennan;Xerox;6.11.2021;CA-2021-154816;40475;Xerox 1987;South;Corporate;10.11.2021;Standard Class;Kentucky;Paper;0;2,8322;1;5,78
Office Supplies;Los Angeles;United States;Sung Pak;Other;4.03.2021;CA-2021-110478;90045;American Pencil;West;Corporate;9.03.2021;Standard Class;California;Art;0;2,7028;4;9,32
Office Supplies;Los Angeles;United States;Sung Pak;Other;4.03.2021;CA-2021-110478;90045;White Envelopes, White Envelopes with Clear Poly Window;West;Corporate;9.03.2021;Standard Class;California;Envelopes;0;7,015;1;15,25
Technology;Louisville;United States;Joel Eaton;KeyTronic;22.06.2018;CA-2018-142048;80027;KeyTronic 6101 Series - Keyboard - Black;West;Consumer;25.06.2018;First Class;Colorado;Accessories;0,2;56,5662;6;196,752
Furniture;Lawrence;United States;Michael Paige;Westinghouse;19.10.2021;CA-2021-125388;01841;Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black;East;Corporate;23.10.2021;Standard Class;Massachusetts;Furnishings;0;14,7056;4;56,56
Office Supplies;Lawrence;United States;Michael Paige;Other;19.10.2021;CA-2021-125388;01841;Crate-A-Files;East;Corporate;23.10.2021;Standard Class;Massachusetts;Storage;0;8,502;3;32,7
Furniture;Jackson;United States;Natalie Fritzler;Hon;21.08.2021;CA-2021-155705;39212;Hon Multipurpose Stacking Arm Chairs;South;Consumer;23.08.2021;Second Class;Mississippi;Chairs;0;225,264;4;866,4
Furniture;Canton;United States;Janet Molinari;Other;23.11.2021;CA-2021-149160;48187;Coloredge Poster Frame;Central;Corporate;26.11.2021;Second Class;Michigan;Furnishings;0;11,076;2;28,4
Office Supplies;Canton;United States;Janet Molinari;GBC;23.11.2021;CA-2021-149160;48187;GBC VeloBinder Manual Binding System;Central;Corporate;26.11.2021;Second Class;Michigan;Binders;0;138,2016;8;287,92
Technology;New Rochelle;United States;Shirley Daniels;Epson;12.09.2018;CA-2018-101476;10801;Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner;East;Home Office;13.09.2018;First Class;New York;Machines;0;30,0957;1;69,99
Office Supplies;San Antonio;United States;Ken Heidel;Other;1.10.2021;CA-2021-152275;78207;Design Ebony Sketching Pencil;Central;Corporate;8.10.2021;Standard Class;Texas;Art;0,2;0,5004;6;6,672
Office Supplies;Gastonia;United States;Ross Baird;GBC;15.04.2020;US-2020-123750;28052;GBC ProClick 150 Presentation Binding System;South;Home Office;21.04.2020;Standard Class;North Carolina;Binders;0,7;-145,3508;2;189,588
Technology;Gastonia;United States;Ross Baird;Imation;15.04.2020;US-2020-123750;28052;"Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB";South;Home Office;21.04.2020;Standard Class;North Carolina;Accessories;0,2;76,6395;7;408,744
Technology;Gastonia;United States;Ross Baird;Imation;15.04.2020;US-2020-123750;28052;"Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB";South;Home Office;21.04.2020;Standard Class;North Carolina;Accessories;0,2;54,7425;5;291,96
Office Supplies;Gastonia;United States;Ross Baird;Other;15.04.2020;US-2020-123750;28052;Woodgrain Magazine Files by Perma;South;Home Office;21.04.2020;Standard Class;North Carolina;Storage;0,2;-0,774800000;2;4,768
Office Supplies;Lowell;United States;Dave Brooks;Other;6.06.2020;CA-2020-127369;01852;Letter Size Cart;East;Consumer;7.06.2020;First Class;Massachusetts;Storage;0;207,147;5;714,3
Office Supplies;Jacksonville;United States;Mike Kennedy;Other;19.12.2018;US-2018-150574;32216;Insertable Tab Post Binder Dividers;South;Consumer;25.12.2018;Standard Class;Florida;Binders;0,7;-3,6892;2;4,812
Technology;Jacksonville;United States;Mike Kennedy;Belkin;19.12.2018;US-2018-150574;32216;Belkin QODE FastFit Bluetooth Keyboard;South;Consumer;25.12.2018;Standard Class;Florida;Accessories;0,2;-18,585;5;247,8
Technology;Chicago;United States;Philisse Overcash;Canon;12.06.2020;CA-2020-147375;60623;Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner;Central;Home Office;14.06.2020;Second Class;Illinois;Machines;0,3;43,1991;3;1007,979
Office Supplies;Chicago;United States;Philisse Overcash;Xerox;12.06.2020;CA-2020-147375;60623;Xerox 1908;Central;Home Office;14.06.2020;Second Class;Illinois;Paper;0,2;113,6394;7;313,488
Office Supplies;Houston;United States;Brenda Bowman;Xerox;15.09.2021;CA-2021-130043;77070;Xerox 1897;Central;Corporate;19.09.2021;Standard Class;Texas;Paper;0,2;11,5536;8;31,872
Furniture;New York City;United States;Cynthia Voltz;Global;20.01.2021;CA-2021-157252;10024;Global Deluxe Steno Chair;East;Corporate;23.01.2021;Second Class;New York;Chairs;0,1;2,309400000;3;207,846
Furniture;Detroit;United States;Pete Kriz;Other;5.09.2020;CA-2020-115756;48227;Aluminum Document Frame;Central;Consumer;7.09.2020;Second Class;Michigan;Furnishings;0;3,666;1;12,22
Office Supplies;Detroit;United States;Pete Kriz;Fellowes;5.09.2020;CA-2020-115756;48227;Fellowes Bankers Box Staxonsteel Drawer File/Stacking System;Central;Consumer;7.09.2020;Second Class;Michigan;Storage;0;23,3928;3;194,94
Office Supplies;Detroit;United States;Pete Kriz;Eldon;5.09.2020;CA-2020-115756;48227;Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays;Central;Consumer;7.09.2020;Second Class;Michigan;Storage;0;20,5755;3;70,95
Office Supplies;Detroit;United States;Pete Kriz;Xerox;5.09.2020;CA-2020-115756;48227;"Xerox Color Copier Paper, 11"" x 17"", Ream";Central;Consumer;7.09.2020;Second Class;Michigan;Paper;0;42,0256;4;91,36
Furniture;Detroit;United States;Pete Kriz;Office Star;5.09.2020;CA-2020-115756;48227;Office Star - Ergonomically Designed Knee Chair;Central;Consumer;7.09.2020;Second Class;Michigan;Chairs;0;29,1528;3;242,94
Office Supplies;Detroit;United States;Pete Kriz;Avery;5.09.2020;CA-2020-115756;48227;Avery 520;Central;Consumer;7.09.2020;Second Class;Michigan;Labels;0;10,584;7;22,05
